test_num,alpha,total_demands,individual_rides,shared_rides,pct_shared,avg_passengers_shared,avg_efficiency
1,100.00,100,98,1,1.01,2.00,5388.0153
2,149.49,100,100,0,0.00,0.00,4988.1873
3,198.99,100,100,0,0.00,0.00,5170.9311
4,248.48,100,100,0,0.00,0.00,4774.2399
5,297.98,100,100,0,0.00,0.00,4611.7620
6,347.47,100,100,0,0.00,0.00,4870.0467
7,396.97,100,100,0,0.00,0.00,5311.3778
8,446.46,100,98,1,1.01,2.00,5703.0533
9,495.96,100,100,0,0.00,0.00,5235.1532
10,545.45,100,100,0,0.00,0.00,4861.1812
11,594.95,100,98,1,1.01,2.00,5001.8903
12,644.44,100,98,1,1.01,2.00,5455.9254
13,693.94,100,96,2,2.04,2.00,4788.8357
14,743.43,100,98,1,1.01,2.00,5775.9358
15,792.93,100,98,1,1.01,2.00,5389.8324
16,842.42,100,96,2,2.04,2.00,5357.2353
17,891.92,100,96,2,2.04,2.00,5386.4909
18,941.41,100,92,4,4.17,2.00,5095.5880
19,990.91,100,96,2,2.04,2.00,5280.1330
20,1040.40,100,100,0,0.00,0.00,5595.1011
21,1089.90,100,100,0,0.00,0.00,5380.9309
22,1139.39,100,94,3,3.09,2.00,5386.5846
23,1188.89,100,98,1,1.01,2.00,5370.5853
24,1238.38,100,94,3,3.09,2.00,5385.0190
25,1287.88,100,98,1,1.01,2.00,5277.0110
26,1337.37,100,94,3,3.09,2.00,5234.6235
27,1386.87,100,94,3,3.09,2.00,5099.6673
28,1436.36,100,88,6,6.38,2.00,5252.9083
29,1485.86,100,94,3,3.09,2.00,5247.1591
30,1535.35,100,86,7,7.53,2.00,5178.7914
31,1584.85,100,83,8,8.79,2.12,5604.8504
32,1634.34,100,86,7,7.53,2.00,5616.3095
33,1683.84,100,86,7,7.53,2.00,5397.8955
34,1733.33,100,86,7,7.53,2.00,5303.2916
35,1782.83,100,83,8,8.79,2.12,5603.1432
36,1832.32,100,80,10,11.11,2.00,5779.0556
37,1881.82,100,92,4,4.17,2.00,5128.5829
38,1931.31,100,90,5,5.26,2.00,5451.9598
39,1980.81,100,90,5,5.26,2.00,5636.2487
40,2030.30,100,80,10,11.11,2.00,5458.8504
41,2079.80,100,84,8,8.70,2.00,5203.8986
42,2129.29,100,82,9,9.89,2.00,5665.4503
43,2178.79,100,94,3,3.09,2.00,5535.8627
44,2228.28,100,82,9,9.89,2.00,5386.5548
45,2277.78,100,86,7,7.53,2.00,5328.6305
46,2327.27,100,82,9,9.89,2.00,5659.6482
47,2376.77,100,78,11,12.36,2.00,5213.6294
48,2426.26,100,82,9,9.89,2.00,5345.4987
49,2475.76,100,82,9,9.89,2.00,6084.3670
50,2525.25,100,80,10,11.11,2.00,5478.4753
51,2574.75,100,88,6,6.38,2.00,5427.0270
52,2624.24,100,74,13,14.94,2.00,5736.6078
53,2673.74,100,80,10,11.11,2.00,5693.2176
54,2723.23,100,74,13,14.94,2.00,5591.9500
55,2772.73,100,78,10,11.36,2.20,5209.6774
56,2822.22,100,74,13,14.94,2.00,5812.5806
57,2871.72,100,78,11,12.36,2.00,6020.9199
58,2921.21,100,84,8,8.70,2.00,5454.5361
59,2970.71,100,73,13,15.12,2.08,5636.9629
60,3020.20,100,70,15,17.65,2.00,5919.6989
61,3069.70,100,66,17,20.48,2.00,5827.9006
62,3119.19,100,72,14,16.28,2.00,6202.7464
63,3168.69,100,74,13,14.94,2.00,5701.7474
64,3218.18,100,69,15,17.86,2.07,5442.3083
65,3267.68,100,72,13,15.29,2.15,5754.7309
66,3317.17,100,72,14,16.28,2.00,5558.9995
67,3366.67,100,78,11,12.36,2.00,5522.7903
68,3416.16,100,77,11,12.50,2.09,5583.3225
69,3465.66,100,61,19,23.75,2.05,6305.9689
70,3515.15,100,60,20,25.00,2.00,5662.2255
71,3564.65,100,76,12,13.64,2.00,5473.2041
72,3614.14,100,75,12,13.79,2.08,5750.7598
73,3663.64,100,68,16,19.05,2.00,5836.1783
74,3713.13,100,59,20,25.32,2.05,5924.6815
75,3762.63,100,69,15,17.86,2.07,5907.9298
76,3812.12,100,64,18,21.95,2.00,6129.0054
77,3861.62,100,58,21,26.58,2.00,5921.7185
78,3911.11,100,52,23,30.67,2.09,6185.7911
79,3960.61,100,74,12,13.95,2.17,5647.8894
80,4010.10,100,52,24,31.58,2.00,6834.3557
81,4059.60,100,62,19,23.46,2.00,6146.2541
82,4109.09,100,74,13,14.94,2.00,5868.7185
83,4158.59,100,64,17,20.99,2.12,5999.0001
84,4208.08,100,70,15,17.65,2.00,5621.4172
85,4257.58,100,57,21,26.92,2.05,5753.6909
86,4307.07,100,61,19,23.75,2.05,5928.6754
87,4356.57,100,61,19,23.75,2.05,6240.0269
88,4406.06,100,62,19,23.46,2.00,6112.1548
89,4455.56,100,59,20,25.32,2.05,6155.5186
90,4505.05,100,60,20,25.00,2.00,5932.9701
91,4554.55,100,59,20,25.32,2.05,6140.3022
92,4604.04,100,51,23,31.08,2.13,6838.7735
93,4653.54,100,53,22,29.33,2.14,5951.3048
94,4703.03,100,62,18,22.50,2.11,6601.4035
95,4752.53,100,66,17,20.48,2.00,6098.4628
96,4802.02,100,59,19,24.36,2.16,6451.2723
97,4851.52,100,58,20,25.64,2.10,6288.6362
98,4901.01,100,56,22,28.21,2.00,6434.7349
99,4950.51,100,54,22,28.95,2.09,6718.3918
100,5000.00,100,51,24,32.00,2.04,6789.2064
