test_num,beta,total_demands,individual_rides,shared_rides,pct_shared,avg_passengers_shared,avg_efficiency
1,100.00,100,100,0,0.00,0.00,5382.4448
2,149.49,100,100,0,0.00,0.00,4988.1873
3,198.99,100,100,0,0.00,0.00,5170.9311
4,248.48,100,100,0,0.00,0.00,4774.2399
5,297.98,100,100,0,0.00,0.00,4611.7620
6,347.47,100,100,0,0.00,0.00,4870.0467
7,396.97,100,98,1,1.01,2.00,5311.9772
8,446.46,100,100,0,0.00,0.00,5701.5911
9,495.96,100,100,0,0.00,0.00,5235.1532
10,545.45,100,100,0,0.00,0.00,4861.1812
11,594.95,100,100,0,0.00,0.00,4954.0537
12,644.44,100,98,1,1.01,2.00,5455.9254
13,693.94,100,98,1,1.01,2.00,4788.4692
14,743.43,100,100,0,0.00,0.00,5768.4428
15,792.93,100,100,0,0.00,0.00,5389.1647
16,842.42,100,100,0,0.00,0.00,5330.4451
17,891.92,100,98,1,1.01,2.00,5347.8431
18,941.41,100,96,2,2.04,2.00,5009.9474
19,990.91,100,100,0,0.00,0.00,5221.0556
20,1040.40,100,100,0,0.00,0.00,5595.1011
21,1089.90,100,100,0,0.00,0.00,5380.9309
22,1139.39,100,100,0,0.00,0.00,5311.9060
23,1188.89,100,98,1,1.01,2.00,5370.5853
24,1238.38,100,96,2,2.04,2.00,5360.3784
25,1287.88,100,98,1,1.01,2.00,5277.0110
26,1337.37,100,98,1,1.01,2.00,5215.7478
27,1386.87,100,100,0,0.00,0.00,5047.2486
28,1436.36,100,96,2,2.04,2.00,5190.4489
29,1485.86,100,100,0,0.00,0.00,5132.7175
30,1535.35,100,98,1,1.01,2.00,5032.5916
31,1584.85,100,96,2,2.04,2.00,5451.5511
32,1634.34,100,93,3,3.12,2.33,5474.1872
33,1683.84,100,92,4,4.17,2.00,5299.2979
34,1733.33,100,90,5,5.26,2.00,5252.8146
35,1782.83,100,94,3,3.09,2.00,5297.3336
36,1832.32,100,94,3,3.09,2.00,5606.6860
37,1881.82,100,96,2,2.04,2.00,5121.6669
38,1931.31,100,94,3,3.09,2.00,5402.5602
39,1980.81,100,96,2,2.04,2.00,5514.1961
40,2030.30,100,90,5,5.26,2.00,5228.9509
41,2079.80,100,92,4,4.17,2.00,5109.1705
42,2129.29,100,92,4,4.17,2.00,5484.0465
43,2178.79,100,100,0,0.00,0.00,5396.1843
44,2228.28,100,90,5,5.26,2.00,5249.1701
45,2277.78,100,86,7,7.53,2.00,5356.7170
46,2327.27,100,88,6,6.38,2.00,5603.5207
47,2376.77,100,90,5,5.26,2.00,5039.8786
48,2426.26,100,90,5,5.26,2.00,5157.4821
49,2475.76,100,86,7,7.53,2.00,5893.3774
50,2525.25,100,90,5,5.26,2.00,5340.2077
51,2574.75,100,84,8,8.70,2.00,5424.7959
52,2624.24,100,82,9,9.89,2.00,5532.8235
53,2673.74,100,86,7,7.53,2.00,5626.7482
54,2723.23,100,94,3,3.09,2.00,5350.6376
55,2772.73,100,88,6,6.38,2.00,4997.3528
56,2822.22,100,88,6,6.38,2.00,5373.4596
57,2871.72,100,84,8,8.70,2.00,5840.3198
58,2921.21,100,84,8,8.70,2.00,5559.5402
59,2970.71,100,92,4,4.17,2.00,5185.2554
60,3020.20,100,84,8,8.70,2.00,5621.9228
61,3069.70,100,84,8,8.70,2.00,5528.7229
62,3119.19,100,88,6,6.38,2.00,5801.3098
63,3168.69,100,88,6,6.38,2.00,5436.6472
64,3218.18,100,82,9,9.89,2.00,5110.8825
65,3267.68,100,84,8,8.70,2.00,5611.2902
66,3317.17,100,84,8,8.70,2.00,5352.3109
67,3366.67,100,84,8,8.70,2.00,5376.3954
68,3416.16,100,84,8,8.70,2.00,5406.5388
69,3465.66,100,75,12,13.79,2.08,6008.5691
70,3515.15,100,76,12,13.64,2.00,5232.2231
71,3564.65,100,82,9,9.89,2.00,5240.5649
72,3614.14,100,86,7,7.53,2.00,5397.6916
73,3663.64,100,86,7,7.53,2.00,5450.8634
74,3713.13,100,75,12,13.79,2.08,5276.5272
75,3762.63,100,72,14,16.28,2.00,5895.2697
76,3812.12,100,78,11,12.36,2.00,5752.8506
77,3861.62,100,86,7,7.53,2.00,5164.9527
78,3911.11,100,78,11,12.36,2.00,5396.1444
79,3960.61,100,74,13,14.94,2.00,5673.7559
80,4010.10,100,77,11,12.50,2.09,6147.0676
81,4059.60,100,74,13,14.94,2.00,5421.8653
82,4109.09,100,78,11,12.36,2.00,5554.2298
83,4158.59,100,76,12,13.64,2.00,5734.2149
84,4208.08,100,82,9,9.89,2.00,5429.1276
85,4257.58,100,72,14,16.28,2.00,5331.8059
86,4307.07,100,74,13,14.94,2.00,5485.2459
87,4356.57,100,75,12,13.79,2.08,5765.9282
88,4406.06,100,78,11,12.36,2.00,5705.0011
89,4455.56,100,85,7,7.61,2.14,5637.6461
90,4505.05,100,76,12,13.64,2.00,5534.9070
91,4554.55,100,76,12,13.64,2.00,5574.6373
92,4604.04,100,78,11,12.36,2.00,5942.7626
93,4653.54,100,74,13,14.94,2.00,5135.6467
94,4703.03,100,82,9,9.89,2.00,6082.9897
95,4752.53,100,80,10,11.11,2.00,5591.5444
96,4802.02,100,78,11,12.36,2.00,5825.7054
97,4851.52,100,72,14,16.28,2.00,5711.2231
98,4901.01,100,74,13,14.94,2.00,6204.7295
99,4950.51,100,76,12,13.64,2.00,6017.9291
100,5000.00,100,73,13,15.12,2.08,6066.8757
