test_num,lambda,total_demands,individual_rides,shared_rides,pct_shared,avg_passengers_shared,avg_efficiency
1,0.1000,100,0,0,0.00,0.00,0.6162
2,0.1081,100,0,0,0.00,0.00,0.6294
3,0.1162,100,0,0,0.00,0.00,0.6091
4,0.1242,100,0,0,0.00,0.00,0.6247
5,0.1323,100,0,0,0.00,0.00,0.5838
6,0.1404,100,0,0,0.00,0.00,0.6282
7,0.1485,100,0,0,0.00,0.00,0.6547
8,0.1566,100,0,0,0.00,0.00,0.6606
9,0.1646,100,0,0,0.00,0.00,0.6438
10,0.1727,100,0,0,0.00,0.00,0.6306
11,0.1808,100,0,0,0.00,0.00,0.6424
12,0.1889,100,0,0,0.00,0.00,0.6741
13,0.1970,100,0,0,0.00,0.00,0.6115
14,0.2051,100,0,0,0.00,0.00,0.6453
15,0.2131,100,0,0,0.00,0.00,0.6582
16,0.2212,100,0,0,0.00,0.00,0.6797
17,0.2293,100,0,0,0.00,0.00,0.6415
18,0.2374,100,0,0,0.00,0.00,0.6374
19,0.2455,100,0,0,0.00,0.00,0.6871
20,0.2535,100,0,0,0.00,0.00,0.6868
21,0.2616,100,0,0,0.00,0.00,0.6676
22,0.2697,100,0,0,0.00,0.00,0.7686
23,0.2778,100,0,0,0.00,0.00,0.6351
24,0.2859,100,0,0,0.00,0.00,0.6551
25,0.2939,100,0,0,0.00,0.00,0.6294
26,0.3020,100,0,0,0.00,0.00,0.6911
27,0.3101,100,0,0,0.00,0.00,0.6517
28,0.3182,100,0,0,0.00,0.00,0.7149
29,0.3263,100,0,0,0.00,0.00,0.6725
30,0.3343,100,0,0,0.00,0.00,0.6186
31,0.3424,100,0,0,0.00,0.00,0.6756
32,0.3505,100,0,0,0.00,0.00,0.7397
33,0.3586,100,0,0,0.00,0.00,0.7368
34,0.3667,100,0,0,0.00,0.00,0.6930
35,0.3747,100,0,0,0.00,0.00,0.6480
36,0.3828,100,0,0,0.00,0.00,0.7376
37,0.3909,100,0,0,0.00,0.00,0.7542
38,0.3990,100,0,0,0.00,0.00,0.7516
39,0.4071,100,0,0,0.00,0.00,0.7006
40,0.4152,100,0,0,0.00,0.00,0.7169
41,0.4232,100,0,0,0.00,0.00,0.7545
42,0.4313,100,0,0,0.00,0.00,0.6833
43,0.4394,100,0,0,0.00,0.00,0.7192
44,0.4475,100,0,0,0.00,0.00,0.7552
45,0.4556,100,0,0,0.00,0.00,0.7573
46,0.4636,100,0,0,0.00,0.00,0.7600
47,0.4717,100,0,0,0.00,0.00,0.7724
48,0.4798,100,0,0,0.00,0.00,0.7949
49,0.4879,100,0,0,0.00,0.00,0.7777
50,0.4960,100,0,0,0.00,0.00,0.7486
51,0.5040,100,0,0,0.00,0.00,0.7530
52,0.5121,100,0,0,0.00,0.00,0.7558
53,0.5202,100,0,0,0.00,0.00,0.7807
54,0.5283,100,0,0,0.00,0.00,0.8109
55,0.5364,100,0,0,0.00,0.00,0.7978
56,0.5444,100,0,0,0.00,0.00,0.7818
57,0.5525,100,0,0,0.00,0.00,0.7986
58,0.5606,100,0,0,0.00,0.00,0.8308
59,0.5687,100,0,0,0.00,0.00,0.7976
60,0.5768,100,0,0,0.00,0.00,0.8809
61,0.5848,100,0,0,0.00,0.00,0.8613
62,0.5929,100,0,0,0.00,0.00,0.8566
63,0.6010,100,0,0,0.00,0.00,0.8881
64,0.6091,100,0,0,0.00,0.00,0.8918
65,0.6172,100,0,0,0.00,0.00,0.8634
66,0.6253,100,0,0,0.00,0.00,0.8893
67,0.6333,100,0,0,0.00,0.00,0.8619
68,0.6414,100,0,0,0.00,0.00,0.9006
69,0.6495,100,0,0,0.00,0.00,0.9159
70,0.6576,100,0,0,0.00,0.00,0.9323
71,0.6657,100,0,0,0.00,0.00,0.8889
72,0.6737,100,0,0,0.00,0.00,0.9473
73,0.6818,100,0,0,0.00,0.00,0.9141
74,0.6899,100,0,0,0.00,0.00,0.9349
75,0.6980,100,0,0,0.00,0.00,0.9517
76,0.7061,100,0,0,0.00,0.00,0.9578
77,0.7141,100,0,0,0.00,0.00,0.9577
78,0.7222,100,0,0,0.00,0.00,0.9387
79,0.7303,100,0,0,0.00,0.00,0.9500
80,0.7384,100,0,0,0.00,0.00,0.9752
81,0.7465,100,0,0,0.00,0.00,0.9630
82,0.7545,100,0,0,0.00,0.00,0.9655
83,0.7626,100,0,0,0.00,0.00,0.9639
84,0.7707,100,0,0,0.00,0.00,0.9638
85,0.7788,100,0,0,0.00,0.00,0.9767
86,0.7869,100,0,0,0.00,0.00,0.9834
87,0.7949,100,0,0,0.00,0.00,0.9744
88,0.8030,100,0,0,0.00,0.00,0.9828
89,0.8111,100,0,0,0.00,0.00,0.9907
90,0.8192,100,0,0,0.00,0.00,0.9938
91,0.8273,100,0,0,0.00,0.00,0.9885
92,0.8354,100,0,0,0.00,0.00,0.9849
93,0.8434,100,0,0,0.00,0.00,0.9887
94,0.8515,100,0,0,0.00,0.00,1.0022
95,0.8596,100,0,0,0.00,0.00,0.9904
96,0.8677,100,0,0,0.00,0.00,1.0003
97,0.8758,100,0,0,0.00,0.00,1.0075
98,0.8838,100,0,0,0.00,0.00,1.0049
99,0.8919,100,0,0,0.00,0.00,1.0079
100,0.9000,100,0,0,0.00,0.00,1.0062
